"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"4004","4/7/2016","Released","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5570_ANHU"
"4005","10/13/2014","Died","malibu","No","ANHU","Male","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","6238_ANHU"
"4006","6/30/2015","Died","malibu","No","Selasphorus","unknown","Nestling",1,"Summer","nest-related","Selasphorus spp.","6465_ALHU"
"4007","5/23/2013","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5948_ALHU"
"4008","3/29/2009","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",3,"Spring","found on the ground","Non-selasphorus spp.","3668_ANHU"
"4009","4/30/2016","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5593_ANHU"
"4010","10/18/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","1509_ANHU"
"4011","6/11/2016","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6794_ALHU"
"4012","2/24/2006","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","3006_ANHU"
"4013","6/16/2013","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","4764_ANHU"
"4014","4/3/2005","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","2840_ANHU"
"4015","2/20/2001","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1961_ANHU"
"4016","4/1/2010","Died","Lindsey","No","Selasphorus","Male","adult-like",0,"Spring","found on the ground","Selasphorus spp.","3898_RUHU"
"4017","1/29/2012","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","4351_ANHU"
"4018","11/1/2016","Died","Lindsey","No","ANHU","Male","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","5726_ANHU"
"4019","4/2/2009","Died","Lindsey","No","Selasphorus","Male","adult-like",0,"Spring","unknown","Selasphorus spp.","3674_RUHU"
"4020","12/13/2008","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","3592_ANHU"
"4021","4/18/2014","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","4957_ANHU"
"4022","12/3/2016","Died","malibu","Yes","ANHU","Female-like ","adult-like",0,"Winter","unknown","Non-selasphorus spp.","6829_ANHU"
"4023","5/21/2016","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","5612_ANHU"
"4024","7/15/2012","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","4528_ANHU"
"4025","5/11/2015","Released","malibu","No","Selasphorus","unknown","Nestling",0,"Spring","unknown","Selasphorus spp.","6596_ALHU"
"4026","8/1/1994","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Summer","window hit","Selasphorus spp.","716_ALHU"
"4027","5/8/2016","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","5601_ANHU"
"4028","4/20/1996","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1029_ANHU"
"4029","3/4/2004","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",2,"Spring","caught by domestic animal","Non-selasphorus spp.","2627_ANHU"
"4030","2/2/2012","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","4356_ANHU"
"4031","3/11/2015","Released","malibu","No","Selasphorus","unknown","Nestling",0,"Spring","found on the ground","Selasphorus spp.","6504_ALHU"
"4032","6/16/2014","Released","malibu","No","ANHU","Female-like ","adult-like",0,"Summer","unknown","Non-selasphorus spp.","6304_ANHU"
"4033","3/18/2015","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6512_ALHU"
"4034","4/30/2004","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","2680_ANHU"
"4035","4/11/2013","Released","Lindsey","No","ANHU","Male","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","4681_ANHU"
"4036","2/14/2009","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","unknown","Non-selasphorus spp.","3617_ANHU"
"4037","3/19/1995","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","nest-related","Non-selasphorus spp.","784_ANHU"
"4038","1/30/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","3196_ANHU"
"4039","3/23/2010","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",1,"Spring","caught by domestic animal","Selasphorus spp.","3892_RUHU"
"4040","1/16/1999","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","1531_ANHU"
"4041","3/3/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","23_ANHU"
"4042","3/19/2008","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3439_ANHU"
"4043","5/23/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5332_ANHU"
"4044","3/11/2016","Released","malibu","No","Selasphorus","unknown","Nestling",0,"Spring","nest-related","Selasphorus spp.","6724_ALHU"
"4045","5/26/1998","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","window hit","Non-selasphorus spp.","1426_ANHU"
"4046","9/2/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Fall","caught by domestic animal","Non-selasphorus spp.","2761_ANHU"
"4047","6/13/2014","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6294_ALHU"
"4048","10/25/2014","Died","Lindsey","No","ANHU","Male","adult-like",1,"Fall","found on the ground","Non-selasphorus spp.","5119_ANHU"
"4049","4/12/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","nest-related","Non-selasphorus spp.","3059_ANHU"
"4050","10/14/2009","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Fall","suspect torpor-like state","Non-selasphorus spp.","3823_ANHU"
"4051","5/3/2007","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","3277_ANHU"
"4052","10/21/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","2576_ANHU"
"4053","7/5/2008","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Summer","found on the ground","Non-selasphorus spp.","3549_ANHU"
